scenario,controller,seeds,deterministic,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds
workload_shiftable,no_battery,1,True,402.715893799518,0,5323.65455787936,0,136.143506907223,0,113.863176627472,0,0,0,0,0,3491.84003217151,0,183.861020912897,0,0,0,0,0,0,0,677.333922260507,0,968.667782113034,0,0,0,0,0
workload_shiftable,rule_based,1,True,364.349542469674,0,4870.65606103271,0,185.074705015555,0,144.393524437139,0,23.4375,0,18.75,0,2577.07617363487,0,183.861020912897,0,1036.46524652992,0,0.12955815581624,0,0.265935578335714,0,676.86474728226,0,968.667782113034,0,30.0384963768116,0,0,0
workload_shiftable,tou_self_consumption,1,True,366.569734013327,0,5005.04986593153,0,192.029061830547,0,144.88249602848,0,6.25,0,6.25,0,3253.6113784846,0,183.861020912897,0,1024.7732569892,0,0.12809665712365,0,0.25066459882039,0,695.638653792134,0,968.667782113034,0,19.4633152173913,0,0,0
workload_shiftable,carbon_aware,1,True,383.366475461298,0,5161.0993531082,0,214.965403407811,0,167.926350540103,0,57.8125,0,50,0,1413.08359904053,0,183.861020912897,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,844.975561385853,0,1287.52458882779,0,35.1902173913044,0,0,0
workload_shiftable,greedy_tracking,1,True,411.026404168419,0,5379.63435794488,0,32.492228190692,0,15.8671138318142,0,29.6875,0,0,0,1662.71989254317,0,164.307090113978,0,2351.90555765131,0,0.293988194706414,0,0.155158497015945,0,533.321176391366,0,968.667782113034,0,11.1526268115942,0,0,0
workload_shiftable,direct_safesac,5,False,391.849692371312,7.48315104803311,5119.92301945521,82.98845243325,151.74414739645,23.7598808507307,126.459614312105,21.303958437211,100,0,100,0,0,0,0,0,2814.32952307344,249.241149737126,0.35179119038418,0.0311551437171408,0.141512633233047,0.0312985866130041,651.468433991905,18.6533777998955,651.468433991905,18.6533777998955,37.0742753623188,20.0685385871537,15.5819746376812,4.41145768819521
workload_shiftable,residual_sac,5,False,388.697940778742,5.66733548530361,5053.47795812675,63.893623467885,85.4370558519559,4.06824505514568,75.2654793333497,4.31879352000861,100,0,100,0,0,0,0,0,2831.79598355922,241.672221573587,0.353974497944903,0.0302090276966984,0.179780372767172,0.0339443030696579,572.879866408196,16.2840245475554,572.879866408196,16.2840245475554,0.235507246376812,0.207142300799875,4.78940217391304,0.82417115173786
workload_shiftable,proposed_residual_safesac,5,False,393.135213269604,3.7286931872166,5109.56249636215,43.757843769192,77.3146760119268,4.10489940709098,66.6693719036906,4.15561037422392,100,0,100,0,0,0,0,0,2723.7430341689,251.877519544281,0.340467879271112,0.0314846899430351,0.152276366818603,0.016223702759825,562.118678825313,18.7702095196226,562.118678825313,18.7702095196226,0.233242753623188,0.127497176270464,4.4338768115942,1.090506685332
hot_day_cooling_stress,no_battery,1,True,415.858605337188,0,5392.14786220003,0,152.675216399548,0,127.074302644856,0,0,0,0,0,8113.33773075118,0,356.405519779892,0,0,0,0,0,0,0,712.77936936933,0,1013.62424421038,0,0,0,0,0
hot_day_cooling_stress,rule_based,1,True,377.295447985587,0,4933.42330304019,0,192.663970538428,0,153.914705929368,0,21.875,0,6.25,0,6049.03918063086,0,356.405519779892,0,1045.63644193914,0,0.130704555242393,0,0.265499946553776,0,711.761456629877,0,1013.62424421038,0,30.0724637681159,0,0,0
hot_day_cooling_stress,tou_self_consumption,1,True,378.894527461019,0,5057.50607935672,0,197.646378934121,0,153.755037347492,0,6.25,0,6.25,0,7565.01615034598,0,356.405519779892,0,1032.38356630994,0,0.129047945788742,0,0.252794354301334,0,726.802862170395,0,1013.62424421038,0,19.429347826087,0,0,0
hot_day_cooling_stress,carbon_aware,1,True,396.323298638186,0,5226.17174072364,0,206.883863637194,0,169.061879444443,0,53.90625,0,37.5,0,3340.32852900906,0,356.405519779892,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,802.132481873806,0,1296.54139856475,0,35.1902173913044,0,0,0
hot_day_cooling_stress,greedy_tracking,1,True,409.608737420096,0,5350.85415593084,0,48.160833833567,0,19.3356621196879,0,28.90625,0,0,0,3566.60868077009,0,333.511285275758,0,2585.72742854626,0,0.323215928568282,0,0.155954321408236,0,543.150051462498,0,996.541398564747,0,10.643115942029,0,0,0
hot_day_cooling_stress,direct_safesac,5,False,398.961871787016,5.55468823857749,5140.4897685586,67.6940219050629,158.451666489001,26.5599110840005,131.808890523549,23.3170421298187,99.7010869565217,0.294558198215737,98.0434782608696,1.41721791417449,0.899695981689049,1.47813483157681,2.33154867064319,3.25076064597867,2890.12063070875,259.876670671044,0.361265078838594,0.0324845838338805,0.158265515481028,0.0258071541269437,668.681998623404,28.9391870523458,668.681998623404,28.9391870523458,40.8967391304348,19.1520219314977,18.8586956521739,5.2453358802908
hot_day_cooling_stress,residual_sac,5,False,390.667201188506,5.2560317603068,5049.74247632053,64.9378848992398,87.6044552267371,5.11989756565233,76.7259408678381,5.25793274314124,100,0,100,0,0,0,0,0,2827.98510846944,251.061581612163,0.353498138558681,0.0313826977015204,0.192132110635055,0.0353841148344903,576.618387008046,18.7348454893877,576.618387008046,18.7348454893877,0.289855072463768,0.149052828204384,5.91711956521739,1.23626580120764
hot_day_cooling_stress,proposed_residual_safesac,5,False,393.317992783943,2.97407917359833,5095.53834089696,37.886732214112,80.3235067257947,3.9222553605496,69.1957275903006,4.51933950985612,99.9728260869565,0.0607627167798917,99.7826086956522,0.486101734239082,0.00580095589294224,0.0129713317110968,0.023203823571769,0.0518853268443874,2741.96428171876,268.143840002696,0.342745535214845,0.033517980000337,0.165317852991021,0.0199879255835678,572.401030901464,14.777889240691,572.401030901464,14.777889240691,0.439311594202899,0.278426728137488,5.33740942028985,0.676065819105283
dr_coincident_high_load,no_battery,1,True,421.981436831118,0,5452.96047315249,0,162.24670631785,0,132.415999355695,0,0,0,0,0,13899.3231342058,0,574.666305905901,0,0,0,0,0,0,0,741.46442305408,0,1137.99520000024,0,0,0,0,0
dr_coincident_high_load,rule_based,1,True,383.4211993521,0,4994.32196660267,0,199.083286506817,0,157.995050833231,0,20.3125,0,0,0,10548.9681925433,0,574.666305905901,0,1045.63644193914,0,0.130704555242393,0,0.265499946553776,0,740.522770632231,0,1137.99520000024,0,30.0724637681159,0,0,0
dr_coincident_high_load,tou_self_consumption,1,True,385.058742841027,0,5118.98656542424,0,205.438351974853,0,158.839581957123,0,3.125,0,0,0,13018.004979711,0,574.666305905901,0,1033.82986176069,0,0.129228732720086,0,0.253137849470887,0,755.602491011648,0,1137.99520000024,0,19.429347826087,0,0,0
dr_coincident_high_load,carbon_aware,1,True,402.452726273874,0,5287.19608577339,0,211.51970773273,0,171.169196411224,0,32.8125,0,0,0,6187.1764715972,0,574.666305905901,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,825.112651855433,0,1454.41003424365,0,35.1902173913044,0,0,0
dr_coincident_high_load,greedy_tracking,1,True,413.03245806239,0,5384.78643718098,0,54.6930652179083,0,22.2497421866405,0,31.25,0,0,0,6657.79513694159,0,547.631833967779,0,2643.99022977006,0,0.330498778721257,0,0.171684571111452,0,562.8893294726,0,1137.99520000024,0,10.9941123188406,0,0,0
