daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,variant,seed,day_index
321.11054792736513,135.02758612506807,321.11054792736513,7876.7734598353445,0.0,0.0,3780.098890772885,479.9044824696411,555.5999999999999,555.5999999999999,100.0,555.5999999999999,1.0,2528.181476765651,0.31602268459570637,469.46943352043127,469.46943352043127,0.0,0.0,88.42315718790556,78.66842402145267,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3598498683979842,0.7466833223139119,0.3598498683979842,0.19015013160201583,0.0,0.0,0.0,0.0,-1.4065373554694591,residual_prior_no_safety,5,76
496.69436111031257,306.7919097564375,496.69436111031257,13684.275328998272,0.0,0.0,6039.690058135314,441.3598756915275,659.9,659.9,100.0,659.9,1.0,3519.6694457883978,0.4399586807235497,736.9205013483011,736.9205013483011,23.0,226.94978344377265,131.9160485496684,128.59709104523063,0.0,0.0,1.0,0.0,0.0,148.6035965867046,0.0,260.757942079616,0.17229018062653984,0.5933923396527349,0.24563309077680787,0.3043669092231922,0.0,0.0,0.0,0.0,-3.195749059962891,residual_prior_no_safety,5,77
582.4266813212431,228.94699365057508,582.4266813212431,14206.492853483944,0.0,0.0,7062.0000270268065,497.0966515000885,601.0,601.0,100.0,601.0,1.0,2201.151090161242,0.27514388627015524,753.6517684771999,753.6517684771999,25.0,208.05478664631437,88.39302678844825,81.34809918701649,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3208611248413549,0.6894682451451879,0.3208611248413549,0.22913887515864512,0.0,0.0,0.0,0.0,-2.3848645171934906,residual_prior_no_safety,5,78
471.74124358758843,235.4126115949294,471.74124358758843,13809.369277463524,0.0,0.0,6031.800966499735,436.7904750250581,841.8,841.8,100.0,841.8,1.0,3529.9305354164976,0.4412413169270622,770.2077398460473,770.2077398460473,20.0,215.974023713135,100.9869820738116,89.60584588348866,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.2190593461344258,0.8185766863500036,0.23482134855894615,0.3151786514410539,0.0,0.0,0.0,0.0,-2.452214704113848,residual_prior_no_safety,5,79
398.73843782260326,218.83097166218016,398.73843782260326,13682.663908332732,0.0,0.0,5439.509008070524,397.54751300716134,547.9,547.9,100.0,547.9,1.0,2416.087184599459,0.30201089807493237,741.152336770762,741.152336770762,14.0,135.8576067940788,95.01540465341441,85.17206683754921,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.21038374899557097,0.6662119014376123,0.21038374899557097,0.33961625100442905,0.0,0.0,0.0,0.0,-2.27948928814771,residual_prior_no_safety,5,80
373.22213680167636,184.3279451374462,373.22213680167636,13189.928569972977,0.0,0.0,6009.426741056046,455.60722404036176,623.5,623.5,100.0,623.5,1.0,1864.3587192911993,0.23304483991139993,677.6818738381057,677.6818738381057,2.0,0.529134321954615,95.97096750056515,83.30408092588186,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3350659746143218,0.6627021825275938,0.3350659746143218,0.21493402538567824,0.0,0.0,0.0,0.0,-1.9200827618483978,residual_prior_no_safety,5,81
276.94310454729464,153.72544884606282,276.94310454729464,10653.305711536588,0.0,0.0,4864.776834699436,456.64481677563356,314.4,314.4,100.0,314.4,1.0,2491.834234069644,0.3114792792587055,587.80712697906,587.80712697906,0.0,0.0,99.83502558848724,91.51673745363951,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.38855699312463665,0.744868944885681,0.38855699312463665,0.1614430068753634,0.0,0.0,0.0,0.0,-1.6013067588131544,residual_prior_no_safety,5,82
204.42874004433207,111.82024783128901,204.42874004433207,8191.99308726778,0.0,0.0,3170.0589359967153,386.9704115014096,328.3,328.3,100.0,328.3,1.0,2659.2144868891905,0.33240181086114884,494.9923175008807,494.9923175008807,0.0,0.0,90.3555143311045,81.30165729671717,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3710988864932238,0.755981258188666,0.3710988864932238,0.17890111350677623,0.0,0.0,0.0,0.0,-1.164794248242594,residual_prior_no_safety,5,83
347.35588631414976,388.3290319308358,347.35588631414976,13821.924810601613,0.0,0.0,6138.814624258581,444.13601639259554,372.8,372.8,100.0,372.8,1.0,3243.308050411749,0.4054135063014686,756.0805597998651,756.0805597998651,26.0,332.4714509344838,136.10343822909095,133.0781294964254,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.13647105332724332,0.5369312560672266,0.22151179984611652,0.3284882001538835,0.0,0.0,0.0,0.0,-4.045094082612873,residual_prior_no_safety,5,84
407.85543448619245,222.94656874199495,407.85543448619245,14557.879887823769,0.0,0.0,7327.882584274166,503.3619346181869,265.6,265.6,100.0,265.6,1.0,2324.883903170885,0.2906104878963606,762.9682147503969,762.9682147503969,34.0,350.7811797731133,95.88354049765482,87.2172468341887,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.30839989224706443,0.6971505885942909,0.3184986765548658,0.23150132344513424,0.0,0.0,0.0,0.0,-2.3223600910624476,residual_prior_no_safety,5,85
