daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,date,controller,scenario
557.186476864557,199.475188273407,557.186476864557,11542.8324654431,0,0,6103.95054585464,528.808727331758,601.9,601.9,100,601.9,1,0,0,772.581887834014,772.581887834014,9,115.259360957196,139.001834272577,119.534505478713,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.07786654451465,43,2019-11-13,no_battery,baseline_real
500.774577458819,191.038214940031,500.774577458819,11112.2973729519,0,0,5594.44302210729,503.446122286519,1402.6,1402.6,100,1402.6,1,0,0,794.469825255783,794.469825255783,15,164.419888638778,177.387440796852,146.835780012989,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.98998140562532,44,2019-11-14,no_battery,baseline_real
462.333838460909,178.979188182222,462.333838460909,11704.6021634613,0,0,5809.16655430481,496.314737842139,497.2,497.2,100,497.2,1,0,0,759.497305557913,759.497305557913,6,47.4474047643835,117.678694839265,100.751828329559,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.86436654356481,45,2019-11-15,no_battery,baseline_real
417.777336192941,170.174328213676,417.777336192941,11047.7756611189,0,0,5565.42946940377,503.760181245399,649.1,649.1,100,649.1,1,0,0,674.880435478622,674.880435478622,0,0,121.131487162416,105.140167551183,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.7726492522258,46,2019-11-16,no_battery,baseline_real
336.614186869341,138.156514946934,336.614186869341,9173.54511694441,0,0,4677.50215735535,509.890352936245,405.4,405.4,100,405.4,1,0,0,483.565720774968,483.565720774968,0,0,92.6424112323541,79.6066131161232,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.43913036403056,47,2019-11-17,no_battery,baseline_real
295.410930492077,110.759443868688,295.410930492077,7267.89155749442,0,0,3538.47413730468,486.863914976266,584.7,584.7,100,584.7,1,0,0,412.884713901586,412.884713901586,0,0,90.2260321241085,76.5717219197435,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.1537442069655,48,2019-11-18,no_battery,baseline_real
603.939692862449,265.574440265133,603.939692862449,11915.1770081637,0,0,6371.07913665146,534.702852696718,733.5,733.5,100,733.5,1,0,0,788.363752876636,788.363752876636,24,316.303576955164,178.218915358926,137.801138776058,0,0,1,0,0,299.337915366188,0,527.958295656446,0.55,0.55,0.55,0,0,0,0,0,-2.76640041942847,49,2019-11-19,no_battery,baseline_real
664.537235990018,247.851501560026,664.537235990018,12403.1438899742,0,0,7837.59848821677,631.904181531921,433.8,433.8,100,433.8,1,0,0,833.048455816687,833.048455816687,21,301.124407858061,136.933309587681,116.730785816043,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.5817864745836,50,2019-11-20,no_battery,baseline_real
644.666810252636,245.908532856036,644.666810252636,12783.5851062344,0,0,7633.80918016911,597.157144629652,384.1,384.1,100,384.1,1,0,0,801.701839674054,801.701839674054,27,481.078515951362,146.118378661202,127.148387702021,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.56154721725038,51,2019-11-21,no_battery,baseline_real
527.480281223699,212.84597148313,527.480281223699,12167.1370322154,0,0,6567.5683292506,539.77926868592,593.2,593.2,100,593.2,1,0,0,805.573042521931,805.573042521931,22,312.857451733406,156.648205932467,139.277377219923,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.2171455362826,52,2019-11-22,no_battery,baseline_real
346.362247591617,143.011633227133,346.362247591617,11342.0669180096,0,0,4456.09271963975,392.881892855359,950.6,950.6,100,950.6,1,0,0,690.639742344583,690.639742344583,1,3.54246918306427,136.546283927855,115.596774794146,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.48970451278263,53,2019-11-23,no_battery,baseline_real
318.566492560398,140.937996483901,318.566492560398,9080.6693988818,0,0,4694.91654147273,517.023176953328,767.5,767.5,100,767.5,1,0,0,515.144640268685,515.144640268685,0,0,119.170342309899,98.1825575396174,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.46810413004064,54,2019-11-24,no_battery,baseline_real
399.576185152145,144.52626564318,399.576185152145,7865.30911878691,0,0,4902.70135527389,623.332316788847,278.4,278.4,100,278.4,1,0,0,421.709247291365,421.709247291365,0,0,66.9338192054524,57.1177449925081,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.50548193378313,55,2019-11-25,no_battery,baseline_real
605.837835352542,277.769348459319,605.837835352542,12744.1884116456,0,0,7170.74486421675,562.667832002873,447.2,447.2,100,447.2,1,0,0,781.770940190322,781.770940190322,27,363.612319261119,166.990552712123,133.60706299409,0,0,1,0,0,304.071868061484,0,509.416299436089,0.55,0.55,0.55,0,0,0,0,0,-2.8934307131179,56,2019-11-26,no_battery,baseline_real
515.733830761329,204.999855121377,515.733830761329,13257.8415283727,0,0,6108.86675964864,460.773855727211,329.9,329.9,100,329.9,1,0,0,846.615644153015,846.615644153015,25,518.269668998309,141.048229143938,121.362035665745,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.13541515751434,57,2019-11-27,no_battery,baseline_real
412.425247187248,223.236813447242,412.425247187248,13237.9761174636,0,0,4775.8050875577,360.765501099328,496.1,496.1,100,496.1,1,0,0,828.355250291857,828.355250291857,30,571.327853767271,160.909258226467,140.823070227114,0,0,1,0,0,341.512231291885,0,528.909008682472,0.55,0.55,0.55,0,0,0,0,0,-2.32538347340877,58,2019-11-28,no_battery,baseline_real
553.262909950609,248.174484396401,553.262909950609,13164.7240318885,0,0,5809.69421393139,441.307709896445,614.3,614.3,100,614.3,1,0,0,818.24374504766,818.24374504766,24,520.175363778793,157.447189491833,133.520823926476,0,0,1,0,0,324.054978052127,0,481.673140024788,0.55,0.55,0.55,0,0,0,0,0,-2.58515087912917,59,2019-11-29,no_battery,baseline_real
512.068910338404,207.369341992569,512.068910338404,11947.9193305661,0,0,6689.76252935958,559.910252511105,935.5,935.5,100,935.5,1,0,0,753.096224906765,753.096224906765,14,104.403295369138,146.726436315439,126.031944232613,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.1600973124226,60,2019-11-30,no_battery,baseline_real
424.268156302719,171.030043901305,424.268156302719,9986.55919499733,0,0,5861.119289472,586.900770828863,426.3,426.3,100,426.3,1,0,0,541.97927261816,541.97927261816,0,0,98.4647519212063,77.9383316687679,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.78156295730526,61,2019-12-01,no_battery,baseline_real
365.714545933009,131.692830326901,365.714545933009,7863.82053729647,0,0,4150.7442835585,527.827951295732,616.6,616.6,100,616.6,1,0,0,442.859936784775,442.859936784775,0,0,100.624441306443,84.0215384195201,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.37180031590522,62,2019-12-02,no_battery,baseline_real
657.371382487605,291.981840631648,657.371382487605,13022.6462371601,0,0,7091.90369664225,544.582381145049,679,679,100,679,1,0,0,852.314694461524,852.314694461524,28,604.377856682562,180.767934009555,141.329513807661,0,0,1,0,0,317.590948719075,0,512.283455060382,0.55,0.55,0.55,0,0,0,0,0,-3.04147750657967,63,2019-12-03,no_battery,baseline_real
644.220902547151,250.323666735887,644.220902547151,12962.3671429514,0,0,7098.19825058094,547.600463117631,1164.1,1164.1,100,1164.1,1,0,0,896.310347577287,896.310347577287,30,707.347037187767,187.60632867611,161.281092231827,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.60753819516549,64,2019-12-04,no_battery,baseline_real
